pk,Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated
150034,spoc-s37-b0A,QLP,375225453,1096.01,EB,133.8270091,-73.1733897,133.8266836,-73.1733075816,10.11,0.006,2307.9357703135865,0.002752377,0.9209526320170008,0.00018551935,1.8602735373043235,0.46476126,360.8801529160715,42.466145,"[10, 11, 12, 37]",NEB on 375225447 from TFOP,3.65,0.09,1,2.890889883041382,0.125277,5.734908856056708,4.2950416,3430.7622436949487,6553.0,136.4,32740.36293994828,7.2275467,False,5,5,5,5,5,5,5,2019-08-12 16:22:54+00:00,2020-05-20 19:58:59.346000+00:00
289068,qlp-s67-faintsearch,FAINT,408609355,6794.01,PC,296.3555524,-34.534384,296.355554233,-34.5343993071,12.227,0.006,3140.0005419,0.0057553,7.3099457,3.83e-05,6.439,0.696,4484.0,166.11,"[13, 27, 67]",found in faint-star QLP search,3.79,0.09,1,2.38,0.12,12.4526,0.792995,1528.0,6391.0,129.5,906.064,17.0,False,3,4,3,3,4,4,4,2023-11-02 22:50:46.879724+00:00,2024-08-22 15:41:09.420339+00:00
258158,spoc-s14-s55-b02,SPOC,158657354,5986.01,KP,288.153997539622,44.0688265743835,288.153973046,44.0688154371,11.7942,0.0063,2406.4929868317695,0.0075835814,38.58358886032632,0.0011334544,11.040376481567174,0.71893275,1501.2063652813429,172.34116,"[40, 41, 53, 54, 55]",Kepler-522 b,4.05962,0.0844427,1,1.7423100471496582,0.074485,6.887227616274874,1.0315099,754.438766154518,6373.72,114.774,76.56265517522925,8.700123,False,5,5,5,5,5,5,5,2022-12-01 23:00:54.855021+00:00,2022-12-01 17:16:52.483000+00:00
48122,qlp-s31-ffi,QLP,153027658,914.01,EB,48.726283,-44.961763,48.7260930125,-44.9618551411,10.213,0.018,1384.9247,0.0034,2.3374921,1.03e-05,2.279,0.371,760.0,1.28847,"[3, 4, 30, 31]",v-shaped; likely offset to W,3.65,0.1,1,1.54,0.17,4.00659,0.483414,1556.0,5963.4,347.5,975.016,27.0,False,5,5,5,5,5,5,5,2019-07-23 18:22:48+00:00,2021-01-05 16:40:55.025000+00:00
49879,qlp-s61-ffi,QLP,238597883,1004.01,EB,122.1782239,-48.802851200000006,122.178194518,-48.8028109944,9.136,0.006,2987.0472621,0.0037481,3.5730141,1.28e-05,3.37,1.029,755.0,1306.55,"[7, 9, 34, 61]",SPOC s34 shows an offset ~20'' NW (near TIC 238597889); TFOP FP/NEB,4.14,0.07,1,2.15,0.06,11.3113,3.24714,4260.0,9219.0,171.1,54679.3,24.0,False,5,5,5,5,5,5,5,2019-07-24 15:58:33+00:00,2024-09-09 11:26:32.514000+00:00
50095,qlp-s07-ffi,QLP,113553629,988.01,PC,113.424048,-30.996072,113.424038591,-30.996054154,10.162,0.018,1491.91542,0.00613,4.30438,0.00248,3.037,0.41,672.002,2.50426,[7],marginal signal; crowded field,4.17,1.75,1,4.82,0.38,13.7564,1.38032,1319.0,6056.9,247.0,503.88,10.0,False,3,4,3,3,4,4,4,2019-07-24 15:58:33+00:00,2019-07-24 15:58:33+00:00
66871,qlp-s38-tois-FP,QLP,242536549,1953.01,EB,215.145621,-41.983274,215.145568799,-41.9833184247,9.484,0.02,2359.1324315,0.0005716,0.6923563,1.3e-06,0.803,0.101,810.0,304.396,"[11, 38]",centroid offset closer to neighboring star; TFOP FP; retired as EB,3.86,0.57,1,1.85,0.08,10.6207,3.58922,3080.0,6422.1,205.8,14950.4,25.0,False,5,5,5,5,5,5,5,2020-06-17 17:40:44.043357+00:00,2021-10-05 15:05:50.595000+00:00
217326,qlp-s97-ffi,SPOC,425997655,174.05,CP,55.459877,-62.767049,55.4590313743,-62.7672667497,8.69687,0.018031,3987.803312063774,0.0038485386903913,7.907630060628806,2.041615583391763e-05,2.6394558388388467,0.4326028554072937,212.41773684697503,18.40178776015958,"[1, 2, 3, 4, 11, 29, 30, 31, 34, 64, 68, 69, 95, 96, 97]",HD 23472 e/ TOI 174.05,4.38,0.21,5,0.69,0.04,0.9290559398927994,0.0676482851665621,939.1363353568825,4813.0,111.0,129.13441998385838,33.95473057548645,False,5,5,5,5,5,5,5,2021-10-21 22:15:40.262948+00:00,2026-04-09 22:08:41.300000+00:00
50367,spoc-s01-s65-b0A-PC,FAINT,285524410,2848.01,EB,119.999337,-42.928944,119.999359324,-42.9289552149,11.422,0.018,2964.8981369160397,0.0026653502,3.0244222171717663,0.00037387246,5.368078705033019,0.1927099,267015.52245735517,9404.883,"[7, 8, 34, 61, 62]",no radius; found in faint-star QLP search; CTOI from Olmschenk et al; retired as TFOP FP/EB,4.19,1.87,1,,,,,1260.3600138471156,6758.0,202.0,596.3475878785317,26.79407,False,5,5,5,5,5,5,5,2021-06-04 00:47:28.635303+00:00,2024-09-06 12:50:15.298000+00:00
149701,qlp-s15-ffi,QLP,195199644,1321.01,PC,313.5364662,37.7893577,313.536475475,37.7893562001,10.085,0.015,1712.25971,0.0023,1.19888,0.00025,1.558,0.206,1169.03,1.88168,[15],Large and slight depth-aperture correlation,,,1,5.46,0.36,20.5525,1.59543,2172.0,7315.0,243.8,3694.96,17.0,False,3,4,3,3,4,4,4,2019-10-17 00:30:12+00:00,2019-10-17 00:30:12+00:00
296645,qlp-s72-faintsearch,FAINT,63082902,6936.01,PC,117.9907122,18.1264563,117.990507817,18.1263855872,12.271,0.006,3266.8127025,0.0026791,10.298566,4.9e-05,2.022,0.422,4219.0,287.669,"[44, 45, 46, 71, 72]",found in faint-star QLP search,4.61,0.12,1,0.67,0.07,4.00839,0.447867,486.0,4201.6,133.9,9.32109,15.0,False,3,4,3,3,4,4,4,2024-02-29 23:27:38.154829+00:00,2024-08-22 15:41:09.420339+00:00
234025,spoc-s01-72-b0A-PC,FAINT,374200604,4838.01,FP,158.0734496,2.2379294,158.073444815,2.23784521751,11.869,0.007,2525.7954523709564,0.0004845685,0.7600190181346775,9.617417e-06,0.6387380397405018,0.21088833,1865.588651758676,137.7442,"[35, 45, 46, 72]",K2-399 b; found in faint-star QLP search; v-shaped; possible triple-star system; retired as TFOP FP/EB; hierarchical eclipsing binary (Lillo-Box et al 2024),4.0,0.08,1,1.6599899530410769,0.100274,7.290258937659559,5.471068,2529.0245379306334,5690.2,141.2,9667.922808351204,15.336781,False,5,5,5,5,5,5,5,2021-12-21 22:31:48.459623+00:00,2026-02-25 21:29:30.100000+00:00
162047,qlp-s77-ffi,QLP,313761775,1526.01,EB,318.3478198,56.94381479999999,318.347586456,56.9437324711,9.694,0.006,3421.872558,0.0013,1.5309799,2.2e-06,1.37,0.326,654.0,44.7008,"[15, 17, 56, 76, 77]",retired as TFOP FP/NEB; Variable star; some depth-aperture correlation,3.77,0.11,1,2.38,0.11,6.01061,0.369914,1613.0,6298.0,299.8,1124.09,21.0,False,5,5,5,5,5,5,5,2019-12-05 21:41:10+00:00,2024-06-14 10:38:58.170000+00:00
